盗墓笔记|| 评分：4.7|| 导演: 李仁港|| 主演: 井柏然 / 鹿晗 / 马思纯|| 类型: 悬疑 / 奇幻 / 冒险|| 制片国家/地区: 中国大陆|| 年份: 2016
我最好朋友的婚礼|| 评分：4.3|| 导演: 陈飞宏|| 主演: 舒淇 / 冯绍峰 / 宋茜|| 类型: 喜剧 / 爱情|| 制片国家/地区: 中国大陆/美国|| 年份: 2016
夏有乔木 雅望天堂|| 评分：4.7|| 导演: 赵真奎|| 主演: 吴亦凡 / 韩庚 / 卢杉|| 类型: 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
古曼|| 评分：3.4|| 导演: 张江南|| 主演: 韩雪 / 唐宸禹 / 朱圣祎|| 类型: 惊悚|| 制片国家/地区: 中国大陆|| 年份: 2016
谎言西西里|| 评分：4.9|| 导演: 林育贤|| 主演: 李准基 / 周冬雨 / 阮经天|| 类型: 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
使徒行者|| 评分：6.7|| 导演: 文伟鸿|| 主演: 张家辉 / 古天乐 / 吴镇宇|| 类型: 剧情 / 动作 / 犯罪|| 制片国家/地区: 中国大陆/香港|| 年份: 2016
危城|| 评分：5.7|| 导演: 陈木胜|| 主演: 刘青云 / 古天乐 / 彭于晏|| 类型: 剧情 / 动作 / 犯罪 / 武侠 / 古装|| 制片国家/地区: 中国大陆/香港|| 年份: 2016
那件疯狂的小事叫爱情|| 评分：3.9|| 导演: 邹佡|| 主演: 陈伟霆 / 唐艺昕 / 郑秀妍|| 类型: 喜剧 / 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
海洋之歌 Song of the Sea|| 评分：8.7|| 导演: 汤姆·摩尔|| 主演: 大卫·罗尔 / 布莱丹·格里森 / 丽莎·汉尼根|| 类型: 剧情 / 动画 / 冒险|| 制片国家/地区: 爱尔兰/丹麦/比利时/卢森堡/法国|| 年份: 2014
我们诞生在中国 Born in China|| 评分：8.0|| 导演: 陆川|| 主演: 周迅 / 约翰·卡拉辛斯基|| 类型: 剧情 / 纪录片|| 制片国家/地区: 美国/英国/中国大陆|| 年份: 2016
微微一笑很倾城|| 评分：5.0|| 导演: 赵天宇|| 主演: 井柏然 / 杨颖 / 李沁|| 类型: 爱情|| 制片国家/地区: 中国大陆|| 年份: 2016
诺亚方舟漂流记 Ooops! Die Arche ist weg...|| 评分：7.4|| 导演: 托比·格恩科尔 / 肖恩·麦克科马克|| 主演: 卡勒姆·马洛尼 / 克里斯蒂安·乌蒙 / 艾娃·康纳利|| 类型: 喜剧 / 动画 / 冒险|| 制片国家/地区: 德国/比利时/卢森堡/爱尔兰|| 年份: 2015
岛囧|| 评分：2.5|| 导演: 王子元|| 主演: 李渺然 / 李天涯 / 张洛晨|| 类型: 剧情 / 喜剧 / 悬疑 / 惊悚|| 制片国家/地区: 中国大陆|| 年份: 2016
火海凌云 Экипаж|| 评分：7.7|| 导演: 尼古拉·列别捷夫|| 主演: 丹尼拉·科兹洛夫斯基 / 弗拉基米尔·马什科夫 / 阿格尼·格鲁迪特|| 类型: 剧情 / 动作 / 冒险 / 灾难|| 制片国家/地区: 俄罗斯|| 年份: 2016
他是龙 Он - дракон|| 评分：7.4|| 导演: 因达尔·詹杜巴耶夫|| 主演: 马特维·雷科夫 / 玛利亚·波兹哈娃 / 斯坦尼斯拉夫·柳布申|| 类型: 爱情 / 奇幻 / 冒险|| 制片国家/地区: 俄罗斯|| 年份: 2015
